Date,Inflation
2000-11-30,0.0638129892072254
2000-12-31,0.154269642024931
2001-01-31,0.187682725895343
2001-02-28,0.245363989945725
2001-03-31,0.507909790260205
2001-04-30,-0.416332241327616
2001-05-31,0.0242745902062011
2001-06-30,-0.0574327127808657
2001-07-31,0.172749461786946
2001-08-31,-0.302979802579702
2001-09-30,0.0627580784532065
2001-10-31,0.0374765471179385
2001-11-30,-0.492865923281919
2001-12-31,-0.0914908811446983
2002-01-31,-0.519926047972999
2002-02-28,-0.0393221119922242
2002-03-31,0.538413318061006
2002-04-30,0.729318055314061
2002-05-31,0.138820487362231
2002-06-30,-0.227279784713555
2002-07-31,0.0343089708431314
2002-08-31,0.100892982535932
2002-09-30,0.473554347925694
2002-10-31,0.717962266727918
2002-11-30,-0.399371832716929
2002-12-31,-0.0325467618273512
2003-01-31,0.231420046118308
2003-02-28,0.46882483892474
2003-03-31,1.11778013265111
2003-04-30,-0.0508569452831183
2003-05-31,-0.0320251089200153
2003-06-30,-0.473129433766294
2003-07-31,-0.149217088179842
2003-08-31,0.0134559645732165
2003-09-30,0.558598319929901
2003-10-31,0.0490321174092103
2003-11-30,0.167684500456277
2003-12-31,0.563950788732549
2004-01-31,0.53744744109991
2004-02-29,1.08608494836444
2004-03-31,0.460448535433247
2004-04-30,-0.0227700751417853
2004-05-31,0.353844717142609
2004-06-30,0.563807028141432
2004-07-31,0.19310861236674
2004-08-31,-0.0095406379315006
2004-09-30,0.016689712460702
2004-10-31,-0.0237470889112576
2004-11-30,0.287008149265566
2004-12-31,-0.0093554202060037
2005-01-31,0.100149504761279
2005-02-28,-0.2346203515206
2005-03-31,0.650196153407443
2005-04-30,0.118823702025535
2005-05-31,0.12633045900575
2005-06-30,0.263742227071237
2005-07-31,0.104611293091209
2005-08-31,-0.179605723612108
2005-09-30,-0.0942785605012846
2005-10-31,0.144780473631634
2005-11-30,0.0680447024625712
2005-12-31,0.41922503429934
2006-01-31,0.499608846028134
2006-02-28,0.548277704216064
2006-03-31,0.457162631141614
2006-04-30,0.510007190746034
2006-05-31,-0.527951846100242
2006-06-30,-0.132537237586119
2006-07-31,-0.17044035636352
2006-08-31,0.13934667530607
2006-09-30,0.0273681222498222
2006-10-31,0.0437894195875647
2006-11-30,-0.282155165945056
2006-12-31,0.0258117661108955
2007-01-31,0.0094278706569336
2007-02-28,0.25946729961008
2007-03-31,0.348835470333003
2007-04-30,0.178206800195308
2007-05-31,0.491871629879991
2007-06-30,0.469692062317829
2007-07-31,0.475545229813074
2007-08-31,0.136907638047225
2007-09-30,0.612500624383494
2007-10-31,0.314014669403244
2007-11-30,0.111007166747877
2007-12-31,0.453104937624353
2008-01-31,0.222046237637442
2008-02-29,0.907018256710701
2008-03-31,1.04185066180591
2008-04-30,0.154220132610723
2008-05-31,0.369491179954231
2008-06-30,0.769602394432851
2008-07-31,0.555471918982357
2008-08-31,0.590485120627808
2008-09-30,0.567201348170299
2008-10-31,0.613128730631335
2008-11-30,0.309023518807206
2008-12-31,0.360223443699306
2009-01-31,0.105779087549192
2009-02-28,-0.0747867011977923
2009-03-31,0.360219096293319
2009-04-30,0.0190113387638141
2009-05-31,-0.0430059879071317
2009-06-30,-0.339576397635527
2009-07-31,0.186688283246876
2009-08-31,-0.207404080346908
2009-09-30,-0.0871865178354843
2009-10-31,0.122626055714729
2009-11-30,-0.112067511656828
2009-12-31,0.317106553518078
2010-01-31,0.295916358843193
2010-02-28,0.322508087876127
2010-03-31,0.280812098247149
2010-04-30,0.0253574343372818
2010-05-31,0.237859799840972
2010-06-30,0.25084872902545
2010-07-31,0.363955387679499
2010-08-31,0.268515340301766
2010-09-30,-0.0320081184717505
2010-10-31,-0.141721635707217
2010-11-30,0.0079054058141417
2010-12-31,0.178465894473198
2011-01-31,0.390436430112132
2011-02-28,0.38232131500092
2011-03-31,0.70246827579307
2011-04-30,0.680913006312609
2011-05-31,-0.023705939231349
2011-06-30,0.0991430632533504
2011-07-31,0.792952335352793
2011-08-31,0.26581819673157
2011-09-30,0.334184450724357
2011-10-31,0.314850475426423
2011-11-30,0.431423021984299
2011-12-31,0.270908693685631
2012-01-31,-0.101321658058542
2012-02-29,0.32490889268749
2012-03-31,0.766016269027565
