Date,GDP
2017-06-30,162.167774708857
2017-07-31,162.286309678345
2017-08-31,162.638412476959
2017-09-30,164.1810899832
2017-10-31,164.870806680147
2017-11-30,162.050069285228
2017-12-31,178.822860937088
2018-01-31,154.592875234452
2018-02-28,151.463758042883
2018-03-31,161.431967543862
2018-04-30,169.423665829414
2018-05-31,174.2009640499
2018-06-30,165.527593034563
2018-07-31,166.517233721098
2018-08-31,166.411982745936
2018-09-30,168.105434901606
2018-10-31,171.60453435013
2018-11-30,170.249555667477
2018-12-31,187.243182650937
2019-01-31,157.193197527055
2019-02-28,154.617113293077
2019-03-31,166.89749978886
2019-04-30,169.417386054755
2019-05-31,175.401831131757
2019-06-30,170.192831247473
2019-07-31,173.06173485187
2019-08-31,172.594321427108
2019-09-30,172.360592193133
2019-10-31,176.250970775075
2019-11-30,174.183397196694
2019-12-31,189.566260025411
2020-01-31,162.385738087125
2020-02-29,161.698428179546
2020-03-31,137.513514528
2020-04-30,102.875343532707
2020-05-31,117.997641487312
2020-06-30,139.382064668287
2020-07-31,153.991673261532
2020-08-31,156.775163672638
2020-09-30,162.247835266957
2020-10-31,170.514293400219
2020-11-30,170.513324971153
2020-12-31,191.519405008399
2021-01-31,160.76619802336
2021-02-28,155.519403928155
2021-03-31,164.834993571958
2021-04-30,164.492286036925
2021-05-31,175.343695357749
2021-06-30,172.012929904623
2021-07-31,174.499180150954
2021-08-31,175.606368609873
2021-09-30,178.522991745203
2021-10-31,178.646823045847
2021-11-30,176.923593572592
2021-12-31,195.423679290646
2022-01-31,165.705479352297
2022-02-28,163.05925121915
2022-03-31,171.273598108185
2022-04-30,171.169961181518
2022-05-31,179.824800668156
