"","PN01773AM"
"","Producto bruto interno y demanda interna (índice 2007 = 100) - PBI Desestacionalizado - mensual"
Feb16,155.387714816724
Mar16,157.356675631232
Abr16,154.904926413332
May16,154.278866546778
Jun16,155.820144927354
Jul16,157.861774636052
Ago16,158.159984471911
Sep16,157.982713988178
Oct16,156.937610169725
Nov16,158.314862252382
Dic16,160.504522776752
Ene17,159.998577212189
Feb17,159.533281818095
Mar17,157.127308110684
Abr17,158.607742719969
May17,159.641027378146
Jun17,162.15553345217
Jul17,161.172272080632
Ago17,162.512303480914
Sep17,163.540799118914
Oct17,162.00215700662
Nov17,161.436631654669
Dic17,163.478734704822
Ene18,164.625418244199
Feb18,164.070012767263
Mar18,166.034039946672
Abr18,169.076280896417
May18,170.022336280805
Jun18,166.22905507239
Jul18,164.593299953497
Ago18,166.14976409944
Sep18,167.812673970688
Oct18,168.33848482974
Nov18,169.283093968319
Dic18,170.369015603978
Ene19,167.455150049253
Feb19,167.622825256679
Mar19,170.550610142393
Abr19,171.118899847166
May19,171.236230492186
Jun19,171.154930782561
Jul19,171.000914876569
Ago19,172.591278721415
Sep19,171.356941113398
Oct19,172.556453223271
Nov19,173.371584793124
Dic19,171.679404272136
Ene20,172.934195324644
Feb20,172.727214614625
Mar20,140.503002958334
Abr20,104.35718010835
May20,116.059228900362
Jun20,139.909969593455
Jul20,152.557843942335
Ago20,156.547130692248
Sep20,160.51936835531
Oct20,167.169520946249
Nov20,168.922807960474
Dic20,173.167361490965
Ene21,172.164051017993
Feb21,168.443418980469
Mar21,168.376723986983
Abr21,167.468461228883
May21,172.19857746939
Jun21,172.77746476187
Jul21,173.528789522653
Ago21,175.086278301496
Sep21,176.126159187722
Oct21,175.486747211402
Nov21,175.014762741503
Dic21,176.059915194989
Ene22,176.982265321709
Feb22,176.682047622781
Mar22,175.30164255593
Abr22,175.022055260789
May22,176.251895332725
Jun22,179.317052729016
Jul22,177.733174304011
Ago22,177.408945016816
Sep22,179.495469139942
Oct22,179.405617502151
Nov22,178.521843716054
Dic22,179.023255014478
Ene23,175.538186117904
Feb23,176.209312526868
Mar23,176.968791266741
Abr23,176.687425034042
May23,174.205884177575
Jun23,178.389612909719
Jul23,175.55607284978
Ago23,177.273544890054
Sep23,178.226772279038
Oct23,177.708044328767
Nov23,179.544540628351
Dic23,177.94208243702
Ene24,178.791698564371
Feb24,178.714605943273
Mar24,180.331867541023
Abr24,182.273289709686
May24,183.960512446356
Jun24,180.151783846905
Jul24,183.142003459551
Ago24,185.173621902032
Sep24,184.332772760658
Oct24,184.553940301195
Nov24,187.895068452118
Dic24,186.365603465107
Ene25,186.649010773463
Feb25,187.186990155126
Mar25,186.174264324815
Abr25,187.781277400429
May25,188.71190559638
