"","PN01770AM"
"","Producto bruto interno y demanda interna (índice 2007 = 100) - PBI"
Mar16,153.61243192688
Abr16,156.263690478061
May16,157.48954903612
Jun16,155.975301304685
Jul16,158.745901849584
Ago16,158.115555861394
Sep16,158.854564848149
Oct16,159.126757232709
Nov16,158.822599181097
Dic16,176.321093387719
Ene17,150.276432717465
Feb17,147.461285670951
Mar17,155.400167035249
Abr17,156.751508478455
May17,163.251277944792
Jun17,162.167774708857
Jul17,162.286309678345
Ago17,162.638412476959
Sep17,164.1810899832
Oct17,164.870806680147
Nov17,162.050069285228
Dic17,178.822860937088
Ene18,154.592875234452
Feb18,151.463758042883
Mar18,161.431967543862
Abr18,169.423665829414
May18,174.2009640499
Jun18,165.527593034563
Jul18,166.517233721098
Ago18,166.411982745936
Sep18,168.105434901606
Oct18,171.60453435013
Nov18,170.249555667477
Dic18,187.243182650937
Ene19,157.193197527055
Feb19,154.617113293077
Mar19,166.89749978886
Abr19,169.417386054755
May19,175.401831131757
Jun19,170.192831247473
Jul19,173.06173485187
Ago19,172.594321427108
Sep19,172.360592193133
Oct19,176.250970775075
Nov19,174.183397196694
Dic19,189.566260025411
Ene20,162.385738087125
Feb20,161.698428179546
Mar20,137.513514528
Abr20,102.875343532707
May20,117.997641487312
Jun20,139.382064668287
Jul20,153.991673261532
Ago20,156.775163672638
Sep20,162.247835266957
Oct20,170.514293400219
Nov20,170.513324971153
Dic20,191.519405008399
Ene21,160.76619802336
Feb21,155.519403928155
Mar21,164.834993571958
Abr21,164.492286036925
May21,175.343695357749
Jun21,172.012929904623
Jul21,174.499180150954
Ago21,175.606368609873
Sep21,178.522991745203
Oct21,178.646823045847
Nov21,176.923593572592
Dic21,195.423679290646
Ene22,165.705479352297
Feb22,163.05925121915
Mar22,171.273598108185
Abr22,171.169961181518
May22,179.824800668156
Jun22,178.434872205517
Jul22,177.987942182027
Ago22,179.134712364663
Sep22,182.374711989312
Oct22,183.291728001538
Nov22,180.809032415482
Dic22,197.935840561143
Ene23,164.747248759875
Feb23,162.489203079216
Mar23,172.699133230943
Abr23,172.353130034136
May23,177.719176835292
Jun23,177.192993277921
Jul23,176.179873816439
Ago23,179.244835514059
Sep23,180.721017976619
Oct23,182.041114444157
Nov23,182.076781161936
Dic23,196.064002329094
Ene24,167.763729071427
Feb24,167.627777899434
Mar24,171.991601943114
Abr24,181.884033744884
May24,187.861455834207
Jun24,177.84964450269
Jul24,184.739893585405
Ago24,186.36135917895
Sep24,187.029143584624
