"","PN01259PM"
"","Índice del tipo de cambio real (base 2009=100) - Multilateral"
Mar22,107.336116873391
Abr22,106.057300101984
May22,103.6140638711
Jun22,102.571506790105
Jul22,104.31273923166
Ago22,102.990171963024
Sep22,101.037923884393
Oct22,101.247076417974
Nov22,99.1748656055524
Dic22,99.1108509382131
Ene23,101.523470959133
Feb23,101.173517305053
Mar23,97.919330000303
Abr23,97.9882891973178
May23,95.0382144436755
Jun23,93.725993819375
Jul23,92.7910818568003
Ago23,94.2061584152827
Sep23,94.40214982958
Oct23,96.9225068684561
Nov23,95.9178970351414
Dic23,95.8065053550103
Ene24,95.9810146097874
Feb24,97.8122087624845
Mar24,93.7576041494104
Abr24,93.4480703584469
May24,94.3117090356836
Jun24,94.8833748272745
Jul24,94.499610988795
Ago24,94.8537739481468
Sep24,96.3594387993203
Oct24,95.4785045916523
Nov24,94.3416626270221
Dic24,92.3237397542806
Ene25,92.4929434975364
Feb25,91.9101444321245
Mar25,90.8030187718355
Abr25,92.1819075605968
May25,92.2788048412405
Jun25,91.451730977883
Jul25,90.5248964129403
Ago25,90.3200027658759
Sep25,89.8330766882605
Oct25,87.6706324541718
Nov25,86.3777240914767
Dic25,86.52212934362
Ene26,87.0121474420962
Feb26,87.6589117023601
Mar26,87.378374329755
Abr26,87.9293318123577
May26,88.0841035990759
Jun26,86.9756497209202
